Ser,Locations,Temperature,,,,
1,Askar,24.03,,,,
2,Bapco,24.49,,,,
3,Fasht Tighalib,24.71,,,,
4,Ghumais,24.79,,,,
5,Jabbari,24.75,,,,
6,Mashtan,24.70,,,,
7,Qassar Noon,24.06,,,,
8,Suhain,24.66,,,,
9,Al Gaha,25.44,,,,
10,Al Gazara,24.38,,,,
11,Dam,24.47,,,,
12,Fa'ash,24.37,,,,
13,Msoor,25.60,,,,
14,Qita’at Jaradah,24.49,,,,
15,Al Jarim,24.84,,,,
16,Bartafi,25.44,,,,
17,Khor fasht,24.99,,,,
18,Marina Club,24.41,,,,
19,Marwada,25.12,,,,
20,Al Jasra,26.40,,,,
21,Jazirat Ya’suf,24.89,,,,
22,Qassar,25.35,,,,
23,Umm Al nasa'an,24.25,,,,
24,Askar,30.72,,,,
25,Fasht Tighalib,31.56,,,,
26,Ghumais,31.79,,,,
27,Jabbari,31.30,,,,
28,Mashtan,31.37,,,,
29,Qassar Noon,31.39,,,,
30,Al Gaha,31.44,,,,
31,Al Gazara,32.05,,,,
32,Bapco,31.15,,,,
33,Dam,31.98,,,,
34,Fa'ash,31.88,,,,
35,Msoor,30.95,,,,
36,Qita’at Jaradah,32.05,,,,
37,Suhain,31.50,,,,
38,Al Jarim,32.10,,,,
39,Bartafi,31.87,,,,
40,Khor fasht,31.76,,,,
41,Marina Club,30.62,,,,
42,Marwada,31.89,,,,
43,Al Jasra,32.69,,,,
44,Jazirat Ya’suf,32.04,,,,
45,Qassar,32.06,,,,
46,Umm Al nasa'an,31.73,,,,
47,Askar,29.79,,,,
48,Bapco,29.99,,,,
49,Fasht Tighalib,29.50,,,,
50,Ghumais,29.32,,,,
51,Jabbari,29.46,,,,
52,Marina Club,29.51,,,,
53,Msoor,29.53,,,,
54,Qassar Noon,29.32,,,,
55,Al Gaha,30.03,,,,
56,Al Gazara,29.95,,,,
57,Dam,30.09,,,,
58,Fa'ash,30.00,,,,
59,Qita’at Jaradah,30.09,,,,
60,Suhain,30.27,,,,
61,Al Jarim,29.20,,,,
62,Bartafi,29.00,,,,
63,Khor fasht,29.00,,,,
64,Marwada,29.02,,,,
65,Al Jasra,28.79,,,,
66,Jazirat Ya’suf,28.94,,,,
67,Qassar,29.29,,,,
68,Umm Al nasa'an,29.25,,,,
69,Al Gaha,18.57,,,,
70,Askar,18.86,,,,
71,Bapco,19.05,,,,
72,Fasht Tighalib,18.04,,,,
73,Ghumais,18.04,,,,
74,Jabbari,17.90,,,,
75,Mashtan,18.22,,,,
76,Msoor,18.30,,,,
77,Qassar Noon,17.86,,,,
78,Al Gazara,17.14,,,,
79,Dam,16.95,,,,
80,Fa'ash,16.81,,,,
81,Marina Club,15.57,,,,
82,Qita’at Jaradah,16.61,,,,
83,Suhain,16.12,,,,
84,Al Jarim,15.38,,,,
85,Bartafi,15.37,,,,
86,Khor fasht,15.63,,,,
87,Marwada,15.71,,,,
88,Al Jasra,13.32,,,,
89,Jazirat Ya’suf,14.87,,,,
90,Umm Al na'asan,15.04,,,,
91,Al Gaha,24.38,,,,
92,Bapco,24.75,,,,
93,Dam,24.51,,,,
94,Fa'ash,24.47,,,,
95,Marina Club,25.17,,,,
96,Qita’at Jaradah,24.28,,,,
97,Suhain,25.65,,,,
98,Askar,25.66,,,,
99,Fasht Tighalib,25.25,,,,
100,Ghumais,24.91,,,,
101,Jabbari,25.12,,,,
102,Mashtan,25.01,,,,
103,Msoor,25.10,,,,
104,Qassar Noon,24.95,,,,
105,Al Jarim,24.24,,,,
106,Bartafi,24.63,,,,
107,Khor fasht,24.47,,,,
108,Marwada,24.90,,,,
109,Al Jasra,25.34,,,,
110,Jazirat Ya’suf,24.78,,,,
111,Qassar,24.49,,,,
112,Umm Al na'asan,23.97,,,,
113,Al Gazara,31.84,,,,
114,Dam,31.55,,,,
115,Fa'ash,31.98,,,,
116,Qita’at Jaradah,31.73,,,,
117,Suhain,32.13,,,,
118,Al Gaha,31.90,,,,
119,Askar,31.00,,,,
120,Bapco,31.31,,,,
121,Fasht Tighalib,32.07,,,,
122,Ghumais,31.94,,,,
123,Jabbari,31.71,,,,
124,Mashtan,32.05,,,,
125,Msoor,30.87,,,,
126,Qassar Noon,31.97,,,,
127,Al Jarim,31.84,,,,
128,Bartafi,32.05,,,,
